epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,967.853,0.69452,0.57164,1,0.67429,0.000552172,0.000552172,0.000552172
2,2063.32,0.70414,0.57308,1,0.68129,0.00110053,0.00110053,0.00110053
3,3021.42,0.70699,0.60492,1,0.66364,0.00164155,0.00164155,0.00164155
4,3970.68,0.68366,0.59913,1,0.66437,0.00163399,0.00163399,0.00163399
5,4951.74,0.68619,0.65847,1,0.65508,0.00162299,0.00162299,0.00162299
6,5957.83,0.67419,0.61071,1,0.65746,0.00161199,0.00161199,0.00161199
7,6908.71,0.67041,0.6136,1,0.68576,0.00160099,0.00160099,0.00160099
8,7858.62,0.6667,0.59624,1,0.68091,0.00158998,0.00158998,0.00158998
9,8838.38,0.6706,0.60492,1,0.65676,0.00157898,0.00157898,0.00157898
10,9792.92,0.66974,0.59768,1,0.66224,0.00156798,0.00156798,0.00156798
11,10742.4,0.67117,0.58611,1,0.66282,0.00155698,0.00155698,0.00155698
12,11690.9,0.66037,0.61505,1,0.64848,0.00154598,0.00154598,0.00154598
13,12676.2,0.66151,0.63386,1,0.63322,0.00153497,0.00153497,0.00153497
14,13635.6,0.66171,0.62229,1,0.64278,0.00152397,0.00152397,0.00152397
15,14598.7,0.66553,0.63097,1,0.64298,0.00151297,0.00151297,0.00151297
16,15542.1,0.65888,0.61071,1,0.64233,0.00150197,0.00150197,0.00150197
17,16571,0.65678,0.63531,1,0.63451,0.00149096,0.00149096,0.00149096
18,17522,0.65777,0.63386,1,0.62501,0.00147996,0.00147996,0.00147996
19,18464.5,0.65626,0.62373,1,0.64118,0.00146896,0.00146896,0.00146896
20,19415.4,0.65935,0.56729,1,0.66812,0.00145796,0.00145796,0.00145796
