epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1243.54,0.69674,0.62373,1,0.65834,0.000552172,0.000552172,0.000552172
2,2528.01,0.70639,0.48046,1,0.72833,0.000888487,0.000888487,0.000888487
3,3843.02,0.68801,0.60637,1,0.66534,0.00100476,0.00100476,0.00100476
4,5168.57,0.68569,0.64689,1,0.61638,0.000676802,0.000676802,0.000676802
5,6483.79,0.66684,0.6903,1,0.59462,0.000346736,0.000346736,0.000346736
