epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,897.512,0.69674,0.62373,1,0.65834,0.000552172,0.000552172,0.000552172
2,1794.91,0.71223,0.54124,1,0.69286,0.0010765,0.0010765,0.0010765
3,2681.94,0.71199,0.59334,1,0.66832,0.0015694,0.0015694,0.0015694
4,3569.98,0.70292,0.62229,1,0.6508,0.00152554,0.00152554,0.00152554
5,4455.27,0.69293,0.60203,1,0.65621,0.00147839,0.00147839,0.00147839
6,5353.94,0.68251,0.57308,1,0.66701,0.00143124,0.00143124,0.00143124
7,6234.71,0.67776,0.62084,1,0.64811,0.00138409,0.00138409,0.00138409
8,7109.29,0.6711,0.62229,1,0.64046,0.00133693,0.00133693,0.00133693
9,7993.79,0.66655,0.64399,1,0.63157,0.00128978,0.00128978,0.00128978
10,8896.04,0.67086,0.63821,1,0.61514,0.00124263,0.00124263,0.00124263
11,9778.16,0.66487,0.61939,1,0.62213,0.00119548,0.00119548,0.00119548
12,10656.1,0.65552,0.68452,1,0.58852,0.00114832,0.00114832,0.00114832
13,11535.9,0.65697,0.67728,1,0.60294,0.00110117,0.00110117,0.00110117
14,12422.8,0.64915,0.67873,1,0.58667,0.00105402,0.00105402,0.00105402
15,13312,0.65594,0.63821,1,0.61963,0.00100687,0.00100687,0.00100687
16,14188.3,0.64377,0.68017,1,0.59353,0.000959716,0.000959716,0.000959716
17,15080.4,0.62777,0.67438,1,0.5876,0.000912563,0.000912563,0.000912563
18,15963.7,0.64229,0.69609,1,0.57533,0.000865411,0.000865411,0.000865411
19,16843.9,0.63556,0.68017,1,0.5975,0.000818259,0.000818259,0.000818259
20,17734.2,0.62608,0.66715,1,0.60792,0.000771107,0.000771107,0.000771107
21,18619.7,0.62213,0.67873,1,0.59262,0.000723954,0.000723954,0.000723954
22,19502.6,0.61545,0.68886,1,0.56783,0.000676802,0.000676802,0.000676802
23,20406.8,0.6111,0.69465,1,0.56117,0.00062965,0.00062965,0.00062965
24,21287.9,0.60521,0.68596,1,0.56304,0.000582497,0.000582497,0.000582497
25,22178.8,0.59627,0.7178,1,0.5499,0.000535345,0.000535345,0.000535345
26,23076.2,0.59793,0.6657,1,0.57898,0.000488193,0.000488193,0.000488193
27,23970.8,0.59935,0.70043,1,0.56344,0.000441041,0.000441041,0.000441041
28,24857.4,0.58884,0.69754,1,0.5664,0.000393888,0.000393888,0.000393888
29,25742.4,0.58252,0.70767,1,0.54653,0.000346736,0.000346736,0.000346736
30,26633.7,0.58255,0.68886,1,0.5618,0.000299584,0.000299584,0.000299584
31,27534.5,0.58364,0.69754,1,0.54248,0.000252431,0.000252431,0.000252431
32,28427.6,0.57115,0.67438,1,0.56641,0.000205279,0.000205279,0.000205279
33,29312.8,0.56267,0.69175,1,0.54861,0.000158127,0.000158127,0.000158127
34,30195,0.56688,0.70188,1,0.54699,0.000110975,0.000110975,0.000110975
35,31082.4,0.55364,0.70912,1,0.53695,6.38223e-05,6.38223e-05,6.38223e-05
