epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,931.309,0.69674,0.62373,1,0.65834,0.000552172,0.000552172,0.000552172
2,1844.96,0.70894,0.4877,1,0.76562,0.00106397,0.00106397,0.00106397
3,2774.97,0.71329,0.62373,1,0.67675,0.00153176,0.00153176,0.00153176
4,3694.93,0.69731,0.589,1,0.67087,0.00146896,0.00146896,0.00146896
5,4624.58,0.68281,0.63531,1,0.64278,0.00140295,0.00140295,0.00140295
6,5553.67,0.67814,0.59624,1,0.66678,0.00133693,0.00133693,0.00133693
7,6473.34,0.67431,0.63531,1,0.63457,0.00127092,0.00127092,0.00127092
8,7386.69,0.66317,0.67294,1,0.61584,0.00120491,0.00120491,0.00120491
9,8303.46,0.65525,0.6657,1,0.59784,0.00113889,0.00113889,0.00113889
10,9214.88,0.65282,0.65123,1,0.60319,0.00107288,0.00107288,0.00107288
11,10146.1,0.6503,0.68162,1,0.59752,0.00100687,0.00100687,0.00100687
12,11067.7,0.64097,0.68741,1,0.57299,0.000940855,0.000940855,0.000940855
13,11982.8,0.64147,0.68596,1,0.58315,0.000874842,0.000874842,0.000874842
14,12906.9,0.63525,0.67583,1,0.59671,0.000808828,0.000808828,0.000808828
15,13818.3,0.6371,0.69175,1,0.56784,0.000742815,0.000742815,0.000742815
16,14734.3,0.63187,0.68596,1,0.57159,0.000676802,0.000676802,0.000676802
17,15652.6,0.61276,0.6903,1,0.59874,0.000610789,0.000610789,0.000610789
18,16597.4,0.61807,0.69465,1,0.56479,0.000544776,0.000544776,0.000544776
19,17508.2,0.60699,0.68596,1,0.57353,0.000478762,0.000478762,0.000478762
20,18419.7,0.61712,0.71635,1,0.55348,0.000412749,0.000412749,0.000412749
21,19362.9,0.59361,0.70767,1,0.5516,0.000346736,0.000346736,0.000346736
22,20319.4,0.59293,0.71635,1,0.54479,0.000280723,0.000280723,0.000280723
23,21243.1,0.58375,0.73372,1,0.54734,0.00021471,0.00021471,0.00021471
24,22157.8,0.58086,0.72938,1,0.54786,0.000148696,0.000148696,0.000148696
25,23082.1,0.5794,0.73372,1,0.55172,8.26832e-05,8.26832e-05,8.26832e-05
